,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Minneapolis Lakers*,25.9,40.0,26.0,49,17,6.03,-0.75,5.28,85.3,79.3,6.0,97.2,0.335,,0.429,,0.367,,,0.25,,,,,,,Minneapolis Auditorium,,
1,2.0,Syracuse Nationals*,25.8,40.0,26.0,45,21,4.45,-0.52,3.94,89.2,84.6,4.6,96.1,0.497,,0.451,,0.364,,,0.371,,,,,,,Onondaga War Memorial,,
2,3.0,Boston Celtics*,24.9,39.0,27.0,43,23,4.08,-0.47,3.6,90.4,86.4,4.0,100.0,0.437,,0.459,,0.387,,,0.32,,,,,,,Boston Garden,160167.0,
3,4.0,Rochester Royals*,28.9,41.0,25.0,42,24,3.35,-0.43,2.92,91.6,88.1,3.5,92.7,0.416,,0.465,,0.389,,,0.321,,,,,,,Edgerton Park Arena,,
4,5.0,New York Knicks*,25.5,37.0,29.0,35,31,0.74,-0.07,0.67,88.7,87.9,0.8,94.9,0.414,,0.449,,0.383,,,0.296,,,,,,,Madison Square Garden (III),,
5,6.0,Indianapolis Olympians*,24.5,34.0,32.0,33,33,0.12,-0.04,0.08,85.2,85.1,0.1,96.7,0.356,,0.429,,0.367,,,0.258,,,,,,,Hinkle Fieldhouse,,
6,7.0,Philadelphia Warriors*,26.6,33.0,33.0,30,36,-1.26,0.17,-1.08,89.5,90.8,-1.3,95.5,0.399,,0.453,,0.38,,,0.304,,,,,,,Philadelphia Arena,,
7,8.0,Fort Wayne Pistons*,26.5,29.0,37.0,27,39,-2.05,0.22,-1.83,85.6,87.9,-2.3,90.1,0.438,,0.431,,0.353,,,0.321,,,,,,,North Side High School Gym,,
8,9.0,Baltimore Bullets,27.3,20.0,46.0,15,51,-7.5,0.92,-6.6,83.0,90.6,-7.6,97.3,0.402,,0.416,,0.342,,,0.294,,,,,,,Baltimore Coliseum,,
9,10.0,Milwaukee Hawks,26.6,17.0,49.0,13,53,-7.94,0.93,-7.04,80.4,89.1,-8.7,90.7,0.431,,0.402,,0.331,,,0.294,,,,,,,Milwaukee Arena,,
10,,League Average,26.3,,,33,33,0.0,0.0,-0.01,86.9,86.9,,95.1,0.411,,0.438,,0.367,,,0.302,,,,,,,,160167.0,
